Function,Generations,Population Size,Step Size,Best Fitness,Worst Fitness,Standard Deviation,Elapsed Time
booth,50,50,1.0,0.5936914577675938,2518.501077901901,274.44344282777877,0.020003795623779297
booth,50,50,1.5,4.747482057464961,2594.0,338.7965637711653,0.01900339126586914
booth,50,50,2.0,3.2876131646619746,2594.0,188.1088910216749,0.022006511688232422
booth,50,100,0.1,2.3881615439157495,2412.0197762396774,177.4145363935003,0.04200863838195801
booth,50,100,0.2,3.263127577133371,2472.0031501604462,232.97640957368128,0.031006336212158203
booth,50,100,0.5,3.6313547063027007,2578.0998642792797,193.8839774324287,0.041010141372680664
booth,50,100,1.0,0.9766820302832215,2594.0,348.14568438206084,0.038008689880371094
booth,50,100,1.5,5.247184550996838,2588.259251775937,197.66542345558688,0.03900885581970215
booth,50,100,2.0,0.45091290281834573,2594.0,318.83410885704876,0.04600930213928223
booth,100,5,0.1,1.7092353868979744,843.3667030344875,5.154348830167296,0.005001544952392578
booth,100,5,0.2,82.5959171411524,659.941885360193,1.361948268768794,0.0050008296966552734
booth,100,5,0.5,17.93037273755091,345.99118229624816,8.430334410862065,0.0050013065338134766
booth,100,5,1.0,60.76023327187376,1578.400265286057,50.49114355432337,0.005001068115234375
booth,100,5,1.5,198.9525365735617,2206.821289806028,43.0200183877354,0.005001068115234375
booth,100,5,2.0,24.846418978278646,476.14457490100057,44.022044888898854,0.00400090217590332
booth,100,10,0.1,10.877476721657132,2012.7963302823587,6.482815242947736,0.008002281188964844
booth,100,10,0.2,21.90138244137467,1196.0289493792334,78.3455710984293,0.006001710891723633
booth,100,10,0.5,5.957110188256838,729.6513557204261,30.713274561630904,0.005001068115234375
booth,100,10,1.0,23.610509173177434,1019.4332974618342,178.77205388360696,0.00600123405456543
booth,100,10,1.5,21.722244329824093,1928.2337715581725,75.51546742962465,0.006001472473144531
booth,100,10,2.0,22.410172494404012,1721.644620662088,65.67583914727999,0.00600123405456543
booth,100,20,0.1,21.23916761056126,2105.0736105450774,280.9796620038826,0.010002613067626953
booth,100,20,0.2,2.6829826674922344,1130.746190503781,11.107844416411446,0.009002447128295898
booth,100,20,0.5,0.4129649918348494,1752.5325576563484,89.33201079474004,0.008001327514648438
booth,100,20,1.0,3.0926524517786014,2130.746897123584,113.3269381698233,0.01000213623046875
booth,100,20,1.5,27.58555602288365,2349.677593935655,165.52047302365196,0.008002042770385742
booth,100,20,2.0,4.239840854800741,2496.055347757897,123.94778709502152,0.009001970291137695
